table,column,type,notnull,pk,example_value
REFACTORING_MINER,REFACTORING_DETAIL,,False,False,Change Attribute Type managedRepositoryHandler : ManagedRepositoryHandler to managedRepositoryHandler : RepositoryHan...
SONAR_ANALYSIS,PROJECT_ID,TEXT,False,False,org.apache:cayenne
SONAR_ANALYSIS,ANALYSIS_KEY,TEXT,False,False,AWedEXD3C4KKKThcCqHV
SONAR_ANALYSIS,DATE,TEXT,False,False,2008-07-07 14:52:05
SONAR_ANALYSIS,REVISION,TEXT,False,False,b9988a83e364b9b470873dff8996dcf401d08dc4
SONAR_ISSUES,PROJECT_ID,TEXT,False,False,org.apache:cayenne
SONAR_ISSUES,CREATION_ANALYSIS_KEY,TEXT,False,False,AWd5_psxC4KKKThc-qK6
SONAR_ISSUES,ISSUE_KEY,TEXT,False,False,AWeF1RcPC4KKKThcBEZ8
SONAR_ISSUES,TYPE,TEXT,False,False,CODE_SMELL
SONAR_ISSUES,RULE,TEXT,False,False,squid:S1133
SONAR_ISSUES,SEVERITY,TEXT,False,False,INFO
SONAR_ISSUES,STATUS,TEXT,False,False,OPEN
SONAR_ISSUES,RESOLUTION,TEXT,False,False,
SONAR_ISSUES,EFFORT,TEXT,False,False,10.0
SONAR_ISSUES,DEBT,TEXT,False,False,10.0
SONAR_ISSUES,TAGS,TEXT,False,False,obsolete
SONAR_ISSUES,CREATION_DATE,TEXT,False,False,2007-01-21 11:11:02
SONAR_ISSUES,CLOSE_DATE,TEXT,False,False,
SONAR_ISSUES,MESSAGE,TEXT,False,False,Do not forget to remove this deprecated code someday.
SONAR_ISSUES,COMPONENT,TEXT,False,False,Apache_Cayenne:framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/Fault.java
SONAR_ISSUES,START_LINE,REAL,False,False,39.0
SONAR_ISSUES,END_LINE,REAL,False,False,39.0
SONAR_ISSUES,START_OFFSET,REAL,False,False,27.0
SONAR_ISSUES,END_OFFSET,REAL,False,False,37.0
SONAR_ISSUES,HASH,TEXT,False,False,
SONAR_ISSUES,FROM_HOTSPOT,TEXT,False,False,
SONAR_ISSUES,NOT_FOUND,INTEGER,False,False,0
SONAR_ISSUES,CLOSE_ANALYSIS_KEY,TEXT,False,False,
SONAR_MEASURES,PROJECT_ID,TEXT,False,False,org.apache:cayenne
SONAR_MEASURES,ANALYSIS_KEY,TEXT,False,False,AWedEXD3C4KKKThcCqHV
SONAR_MEASURES,COMPLEXITY,INTEGER,False,False,30703
SONAR_MEASURES,FILE_COMPLEXITY,REAL,False,False,11.5
SONAR_MEASURES,COMPLEXITY_IN_CLASSES,TEXT,False,False,30387
SONAR_MEASURES,CLASS_COMPLEXITY,REAL,False,False,10.9
SONAR_MEASURES,COMPLEXITY_IN_FUNCTIONS,TEXT,False,False,29441
SONAR_MEASURES,FUNCTION_COMPLEXITY,REAL,False,False,1.7
SONAR_MEASURES,CLASS_COMPLEXITY_DISTRIBUTION,TEXT,False,False,
SONAR_MEASURES,FUNCTION_COMPLEXITY_DISTRIBUTION,TEXT,False,False,"1=11568,2=2821,4=891,6=307,8=164,10=97,12=147"
SONAR_MEASURES,FILE_COMPLEXITY_DISTRIBUTION,TEXT,False,False,"0=1306,5=535,10=396,20=175,30=170,60=46,90=34"
SONAR_MEASURES,XS,TEXT,False,False,
SONAR_MEASURES,XS_PERCENT,TEXT,False,False,
SONAR_MEASURES,TANGLE_DESIGN,TEXT,False,False,
SONAR_MEASURES,FAT_CLASS,TEXT,False,False,
SONAR_MEASURES,FAT_DESIGN,TEXT,False,False,
SONAR_MEASURES,FAT_LEAF_PACKAGE,TEXT,False,False,
SONAR_MEASURES,FAT_METHOD,TEXT,False,False,
SONAR_MEASURES,COGNITIVE_COMPLEXITY,INTEGER,False,False,21021
SONAR_MEASURES,TESTS,TEXT,False,False,
SONAR_MEASURES,TEST_EXECUTION_TIME,TEXT,False,False,
SONAR_MEASURES,TEST_ERRORS,TEXT,False,False,
SONAR_MEASURES,SKIPPED_TESTS,TEXT,False,False,
SONAR_MEASURES,TEST_FAILURES,TEXT,False,False,
SONAR_MEASURES,TEST_SUCCESS_DENSITY,TEXT,False,False,
SONAR_MEASURES,TEST_DATA,TEXT,False,False,
SONAR_MEASURES,COVERAGE,INTEGER,False,False,0
SONAR_MEASURES,NEW_COVERAGE,TEXT,False,False,0
SONAR_MEASURES,LINES_TO_COVER,INTEGER,False,False,98298
SONAR_MEASURES,NEW_LINES_TO_COVER,TEXT,False,False,24725
SONAR_MEASURES,UNCOVERED_LINES,INTEGER,False,False,98298
SONAR_MEASURES,NEW_UNCOVERED_LINES,TEXT,False,False,24725
SONAR_MEASURES,LINE_COVERAGE,INTEGER,False,False,0
SONAR_MEASURES,NEW_LINE_COVERAGE,TEXT,False,False,0
SONAR_MEASURES,COVERAGE_LINE_HITS_DATA,TEXT,False,False,
SONAR_MEASURES,CONDITIONS_TO_COVER,TEXT,False,False,
SONAR_MEASURES,NEW_CONDITIONS_TO_COVER,TEXT,False,False,0
SONAR_MEASURES,UNCOVERED_CONDITIONS,TEXT,False,False,
SONAR_MEASURES,NEW_UNCOVERED_CONDITIONS,TEXT,False,False,0
SONAR_MEASURES,BRANCH_COVERAGE,TEXT,False,False,
SONAR_MEASURES,NEW_BRANCH_COVERAGE,TEXT,False,False,
SONAR_MEASURES,CONDITIONS_BY_LINE,TEXT,False,False,
SONAR_MEASURES,COVERED_CONDITIONS_BY_LINE,TEXT,False,False,
SONAR_MEASURES,IT_COVERAGE,TEXT,False,False,
SONAR_MEASURES,NEW_IT_COVERAGE,TEXT,False,False,
SONAR_MEASURES,IT_LINES_TO_COVER,TEXT,False,False,
SONAR_MEASURES,NEW_IT_LINES_TO_COVER,TEXT,False,False,
SONAR_MEASURES,IT_UNCOVERED_LINES,TEXT,False,False,
SONAR_MEASURES,NEW_IT_UNCOVERED_LINES,TEXT,False,False,
SONAR_MEASURES,IT_LINE_COVERAGE,TEXT,False,False,
SONAR_MEASURES,NEW_IT_LINE_COVERAGE,TEXT,False,False,
SONAR_MEASURES,IT_COVERAGE_LINE_HITS_DATA,TEXT,False,False,
SONAR_MEASURES,IT_CONDITIONS_TO_COVER,TEXT,False,False,
SONAR_MEASURES,NEW_IT_CONDITIONS_TO_COVER,TEXT,False,False,
SONAR_MEASURES,IT_UNCOVERED_CONDITIONS,TEXT,False,False,
SONAR_MEASURES,NEW_IT_UNCOVERED_CONDITIONS,TEXT,False,False,
SONAR_MEASURES,IT_BRANCH_COVERAGE,TEXT,False,False,
SONAR_MEASURES,NEW_IT_BRANCH_COVERAGE,TEXT,False,False,
SONAR_MEASURES,IT_CONDITIONS_BY_LINE,TEXT,False,False,
SONAR_MEASURES,IT_COVERED_CONDITIONS_BY_LINE,TEXT,False,False,
SONAR_MEASURES,OVERALL_COVERAGE,TEXT,False,False,
SONAR_MEASURES,NEW_OVERALL_COVERAGE,TEXT,False,False,
SONAR_MEASURES,OVERALL_LINES_TO_COVER,TEXT,False,False,
SONAR_MEASURES,NEW_OVERALL_LINES_TO_COVER,TEXT,False,False,
SONAR_MEASURES,OVERALL_UNCOVERED_LINES,TEXT,False,False,
SONAR_MEASURES,NEW_OVERALL_UNCOVERED_LINES,TEXT,False,False,
SONAR_MEASURES,OVERALL_LINE_COVERAGE,TEXT,False,False,
SONAR_MEASURES,NEW_OVERALL_LINE_COVEERAGE,TEXT,False,False,
SONAR_MEASURES,OVERALL_COVERAGE_LINE_HITS_DATA,TEXT,False,False,
SONAR_MEASURES,OVERALL_CONDITIONS_TO_COVER,TEXT,False,False,
SONAR_MEASURES,NEW_OVERALL_CONDITIONS_TO_COVER,TEXT,False,False,
SONAR_MEASURES,OVERALL_UNCOVERED_CONDITIONS,TEXT,False,False,
SONAR_MEASURES,NEW_OVERALL_UNCOVERED_CONDITIONS,TEXT,False,False,
SONAR_MEASURES,OVERALL_BRANCH_COVERAGE,TEXT,False,False,
SONAR_MEASURES,NEW_OVERALL_BRANCH_COVERAGE,TEXT,False,False,
SONAR_MEASURES,OVERALL_CONDITIONS_BY_LINE,TEXT,False,False,
SONAR_MEASURES,OVERALL_COVERED_CONDITIONS_BY_LINE,TEXT,False,False,
SONAR_MEASURES,EXECUTABLE_LINES_DATA,TEXT,False,False,
SONAR_MEASURES,ARCH_VIOLATIONS,TEXT,False,False,
SONAR_MEASURES,ARCH_VIOLATIONS_WEIGHTED,TEXT,False,False,
SONAR_MEASURES,PUBLIC_API,TEXT,False,False,
SONAR_MEASURES,PUBLIC_DOCUMENTED_API_DENSITY,TEXT,False,False,
SONAR_MEASURES,PUBLIC_UNDOCUMENTED_API,TEXT,False,False,
SONAR_MEASURES,COMMENTED_OUT_CODE_LINES,TEXT,False,False,
SONAR_MEASURES,DUPLICATED_LINES,INTEGER,False,False,19476
SONAR_MEASURES,DUPLICATED_BLOCKS,INTEGER,False,False,1565
SONAR_MEASURES,DUPLICATED_FILES,INTEGER,False,False,408
SONAR_MEASURES,DUPLICATED_LINES_DENSITY,REAL,False,False,5.6
SONAR_MEASURES,DUPLICATIONS_DATA,TEXT,False,False,
SONAR_MEASURES,NEW_DUPLICATED_LINES,TEXT,False,False,7317
SONAR_MEASURES,NEW_DUPLICATED_BLOCKS,TEXT,False,False,1182
SONAR_MEASURES,NEW_DUPLICATED_LINES_DENSITY,TEXT,False,False,8.45504968800555
SONAR_MEASURES,QUALITY_GATE_DETAILS,TEXT,False,False,"{""level"":""ERROR"";""conditions"":[{""metric"":""blocker_violations"";""op"":""GT"";""error"":""0"";""actual"":""103"";""level"":""ERROR""};{..."
SONAR_MEASURES,QUALITY_PROFILES,TEXT,False,False,"[{""key"":""css-sonar-way-41536"";""language"":""css"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:11+0000""};{""key""..."
SONAR_MEASURES,ARCH_DIAGRAMS,TEXT,False,False,
SONAR_MEASURES,S101.BUILDBREAKER,TEXT,False,False,
SONAR_MEASURES,STRUCTURE101_WEB_APPLICATION_URL,TEXT,False,False,
SONAR_MEASURES,PROJECT,TEXT,False,False,
SONAR_MEASURES,VIOLATIONS,INTEGER,False,False,16006
SONAR_MEASURES,BLOCKER_VIOLATIONS,INTEGER,False,False,103
SONAR_MEASURES,CRITICAL_VIOLATIONS,INTEGER,False,False,560
SONAR_MEASURES,MAJOR_VIOLATIONS,INTEGER,False,False,7432
SONAR_MEASURES,MINOR_VIOLATIONS,INTEGER,False,False,7314
SONAR_MEASURES,INFO_VIOLATIONS,INTEGER,False,False,597
SONAR_MEASURES,NEW_VIOLATIONS,TEXT,False,False,3911
SONAR_MEASURES,NEW_BLOCKER_VIOLATIONS,TEXT,False,False,4
SONAR_MEASURES,NEW_CRITICAL_VIOLATIONS,TEXT,False,False,94
SONAR_MEASURES,NEW_MAJOR_VIOLATIONS,TEXT,False,False,2107
SONAR_MEASURES,NEW_MINOR_VIOLATIONS,TEXT,False,False,1572
SONAR_MEASURES,NEW_INFO_VIOLATIONS,TEXT,False,False,134
SONAR_MEASURES,FALSE_POSITIVE_ISSUES,INTEGER,False,False,0
SONAR_MEASURES,OPEN_ISSUES,INTEGER,False,False,16006
SONAR_MEASURES,REOPENED_ISSUES,INTEGER,False,False,0
SONAR_MEASURES,CONFIRMED_ISSUES,INTEGER,False,False,0
SONAR_MEASURES,WONT_FIX_ISSUES,INTEGER,False,False,0
SONAR_MEASURES,AFFERENT_COUPLINGS,INTEGER,False,False,0
SONAR_MEASURES,EFFERENT_COUPLINGS,INTEGER,False,False,0
SONAR_MEASURES,NUMBER_OF_CLASSES_AND_INTERFACES,INTEGER,False,False,0
SONAR_MEASURES,PACKAGE_DEPENDENCY_CYCLES,INTEGER,False,False,0
SONAR_MEASURES,MISSING_PACKAGE_INFO,INTEGER,False,False,204
SONAR_MEASURES,PACKAGE,INTEGER,False,False,204
SONAR_MEASURES,MISSING_PACKAGE_INFO_COUNT,TEXT,False,False,204
SONAR_MEASURES,PACKAGE_COUNT,TEXT,False,False,204
SONAR_MEASURES,PACKAGE_INFO_COUNT,TEXT,False,False,
SONAR_MEASURES,JAVA_COUNT,TEXT,False,False,
SONAR_MEASURES,SQALE_INDEX,INTEGER,False,False,223271
SONAR_MEASURES,NEW_TECHNICAL_DEBT,TEXT,False,False,41360
SONAR_MEASURES,SQALE_RATING,INTEGER,False,False,1
SONAR_MEASURES,DEVELOPMENT_COST,INTEGER,False,False,6207000
SONAR_MEASURES,SQALE_DEBT_RATIO,REAL,False,False,3.6
SONAR_MEASURES,NEW_SQALE_DEBT_RATION,REAL,False,False,2.40140615542208
SONAR_MEASURES,CODE_SMELLS,INTEGER,False,False,14277
SONAR_MEASURES,NEW_CODE_SMELLS,TEXT,False,False,3236
SONAR_MEASURES,EFFORT_TO_REACH_MAINTAINABILITY_RATING_A,INTEGER,False,False,0
SONAR_MEASURES,NEW_MAINTAINABILITY_RATING,TEXT,False,False,1
SONAR_MEASURES,BURNED_BUDGET,TEXT,False,False,
SONAR_MEASURES,BUSINESS_VALUE,TEXT,False,False,
SONAR_MEASURES,TEAM_SIZE,TEXT,False,False,
SONAR_MEASURES,FAT_METHOD_LIST,TEXT,False,False,
SONAR_MEASURES,S101_MODEL_NAME,TEXT,False,False,
SONAR_MEASURES,S101_MODEL_SEQUENTIAL_ACTIONS,TEXT,False,False,
SONAR_MEASURES,S101_MODEL_REFACTORING_ACTIONS,TEXT,False,False,
SONAR_MEASURES,S101_MODEL_CLASS_MAPPINGS,TEXT,False,False,
SONAR_MEASURES,S101_MODEL_ALIGNMENT,TEXT,False,False,
SONAR_MEASURES,ALERT_STATUS,TEXT,False,False,ERROR
SONAR_MEASURES,BUGS,INTEGER,False,False,1606
SONAR_MEASURES,NEW_BUGS,TEXT,False,False,651
SONAR_MEASURES,RELIABILITY_REMEDIATION_EFFORT,INTEGER,False,False,14092
SONAR_MEASURES,NEW_RELIABILITY_REMEDIATION_EFFORT,TEXT,False,False,6294
SONAR_MEASURES,RELIABILITY_RATING,INTEGER,False,False,5
SONAR_MEASURES,NEW_RELIABILITY_RATING,TEXT,False,False,4
SONAR_MEASURES,LAST_COMMIT_DATE,TEXT,False,False,2008-07-07 12:31:47
SONAR_MEASURES,VULNERABILITIES,INTEGER,False,False,123
SONAR_MEASURES,NEW_VULNERABILITIES,TEXT,False,False,24
SONAR_MEASURES,SECURITY_REMEDIATION_EFFORT,INTEGER,False,False,1995
SONAR_MEASURES,NEW_SECURITY_REMEDIATION_EFFORT,TEXT,False,False,380
SONAR_MEASURES,SECURITY_RATING,INTEGER,False,False,4
SONAR_MEASURES,NEW_SECURITY_RATING,TEXT,False,False,4
SONAR_MEASURES,LINES,INTEGER,False,False,347513
SONAR_MEASURES,GENERATED_LINES,TEXT,False,False,
SONAR_MEASURES,NCLOC,INTEGER,False,False,206900
SONAR_MEASURES,NCLOC_LANGUAGE_DISTRIBUTION,TEXT,False,False,"css=236,java=172713,web=16138,xml=17813"
SONAR_MEASURES,GENERATED_NCLOC,TEXT,False,False,
SONAR_MEASURES,CLASSES,INTEGER,False,False,2793
SONAR_MEASURES,FILES,INTEGER,False,False,2899
SONAR_MEASURES,DIRECTORIES,INTEGER,False,False,475
SONAR_MEASURES,FUNCTIONS,INTEGER,False,False,16830
SONAR_MEASURES,ACCESSORS,TEXT,False,False,
SONAR_MEASURES,STATEMENTS,INTEGER,False,False,77095
SONAR_MEASURES,PROJECTS,TEXT,False,False,
SONAR_MEASURES,COMMENT_LINES,INTEGER,False,False,25329
SONAR_MEASURES,COMMENT_LINES_DENSITY,REAL,False,False,10.9
SONAR_MEASURES,NCLOC_DATA,TEXT,False,False,
SONAR_MEASURES,COMMENT_LINES_DATA,TEXT,False,False,
SONAR_MEASURES,NEW_LINES,TEXT,False,False,86540
SONAR_MEASURES,sg_i.CORE_VIOLATIONS_COMPONENT_DEPENDENCIES,TEXT,False,False,
SONAR_MEASURES,sg_i.CORE_BIGGEST_COMPONENT_CYCLE_GROUP,TEXT,False,False,
SONAR_MEASURES,sg_i.CORE_UNASSIGNED_COMPONENTS,TEXT,False,False,
SONAR_MEASURES,sg_i.CORE_EMPTY_ARTIFACT_COUNT,TEXT,False,False,
SONAR_MEASURES,sg_i.CORE_LINES_OF_CODE,TEXT,False,False,
SONAR_MEASURES,sg_i.CORE_NCCD,TEXT,False,False,
SONAR_MEASURES,sg_i.CORE_DUPLICATES,TEXT,False,False,
SONAR_MEASURES,sg_i.CORE_COMPONENT_DEPENDENCIES_TO_REMOVE_COMPONENTS,TEXT,False,False,
SONAR_MEASURES,sg_i.CORE_CODE_COMMENT_LINES,TEXT,False,False,
SONAR_MEASURES,sg_i.CORE_IGNORED_DUPLICATES,TEXT,False,False,
SONAR_MEASURES,sg_i.CORE_THRESHOLD_VIOLATIONS,TEXT,False,False,
SONAR_MEASURES,sg_i.CORE_COMMENT_LINES,TEXT,False,False,
SONAR_MEASURES,sg_i.CORE_RELATIVE_CYCLICITY_COMPONENTS,TEXT,False,False,
SONAR_MEASURES,sg_i.CORE_IGNORED_VIOLATIONS_PARSER_DEPENDENCIES,TEXT,False,False,
SONAR_MEASURES,sg_i.CORE_CYCLIC_COMPONENTS,TEXT,False,False,
SONAR_MEASURES,sg_i.JAVA_RELATIVE_CYCLICITY_PACKAGES,TEXT,False,False,
SONAR_MEASURES,sg_i.CORE_VIOLATIONS_PARSER_DEPENDENCIES,TEXT,False,False,
SONAR_MEASURES,sg_i.JAVA_COMPONENT_DEPENDENCIES_TO_REMOVE_PACKAGES,TEXT,False,False,
SONAR_MEASURES,sg_i.CORE_TOTAL_LINES,TEXT,False,False,
SONAR_MEASURES,sg_i.CORE_ARTIFACT_COUNT,TEXT,False,False,
SONAR_MEASURES,sg_i.JAVA_IGNORED_CYCLIC_PACKAGES,TEXT,False,False,
SONAR_MEASURES,sg_i.CORE_STRUCTURAL_DEBT_INDEX_COMPONENTS,TEXT,False,False,
SONAR_MEASURES,sg_i.CORE_ACD,TEXT,False,False,
SONAR_MEASURES,sg_i.JAVA_STRUCTURAL_DEBT_INDEX_PACKAGES,TEXT,False,False,
SONAR_MEASURES,sg_i.JAVA_CYCLICITY_PACKAGES,TEXT,False,False,
SONAR_MEASURES,sg_i.CORE_CCD,TEXT,False,False,
SONAR_MEASURES,sg_i.CORE_VIOLATING_COMPONENTS,TEXT,False,False,
SONAR_MEASURES,sg_i.JAVA_PACKAGES,TEXT,False,False,
SONAR_MEASURES,sg_i.JAVA_CYCLIC_PACKAGES,TEXT,False,False,
SONAR_MEASURES,sg_i.CORE_COMPONENTS,TEXT,False,False,
SONAR_MEASURES,sg_i.CORE_MAX_ACD,TEXT,False,False,
SONAR_MEASURES,sg_i.CORE_RACD,TEXT,False,False,
SONAR_MEASURES,sg_i.CORE_COMPONENT_CYCLE_GROUPS,TEXT,False,False,
SONAR_MEASURES,sg_i.CORE_PARSER_DEPENDENCIES_TO_REMOVE_COMPONENTS,TEXT,False,False,
SONAR_MEASURES,sg_i.JAVA_BYTE_CODE_INSTRUCTIONS,TEXT,False,False,
SONAR_MEASURES,sg_i.CORE_STATEMENTS,TEXT,False,False,
SONAR_MEASURES,sg_i.JAVA_BIGGEST_PACKAGE_CYCLE_GROUP,TEXT,False,False,
SONAR_MEASURES,sg_i.CORE_IGNORED_THRESHOLD_VIOLATIONS,TEXT,False,False,
SONAR_MEASURES,sg_i.CORE_SOURCE_ELEMENT_COUNT,TEXT,False,False,
SONAR_MEASURES,sg_i.CORE_IGNORED_CYCLIC_COMPONENTS,TEXT,False,False,
SONAR_MEASURES,sg_i.JAVA_PACKAGE_CYCLE_GROUPS,TEXT,False,False,
SONAR_MEASURES,sg_i.PERCENTAGEOFDEADCODE,TEXT,False,False,
SONAR_MEASURES,sg_i.CORE_CYCLICITY_COMPONENTS,TEXT,False,False,
SONAR_MEASURES,sg_i.CORE_DUPLICATED_LINES,TEXT,False,False,
SONAR_MEASURES,sg_i.JAVA_PARSER_DEPENDENCIES_TO_REMOVE_PACKAGES,TEXT,False,False,
SONAR_MEASURES,sg_i.STRUCTURAL_DEBT_COST,TEXT,False,False,
SONAR_MEASURES,sg_i.CURRENT_VIRTUAL_MODEL,TEXT,False,False,
SONAR_MEASURES,sg_i.VIRTUAL_MODEL_FEATURE_AVAILABLE,TEXT,False,False,
SONAR_MEASURES,sg_i.NUMBER_OF_TASKS,TEXT,False,False,
SONAR_MEASURES,sg_i.NUMBER_OF_UNAPPLICABLE_TASKS,TEXT,False,False,
SONAR_MEASURES,sg_i.NUMBER_OF_RESOLUTIONS,TEXT,False,False,
SONAR_MEASURES,sg_i.NUMBER_OF_UNAPPLICABLE_RESOLUTIONS,TEXT,False,False,
SONAR_MEASURES,sg_i.NUMBER_OF_REFACTORINGS,TEXT,False,False,
SONAR_MEASURES,sg_i.NUMBER_OF_UNAPPLICABLE_REFACTORINGS,TEXT,False,False,
SONAR_MEASURES,sg_i.NUMBER_OF_PARSER_DEPENDENCIES_AFFECTED_BY_REFACTORINGS,TEXT,False,False,
SONAR_MEASURES,sg_i.JAVA_CYCLIC_PACKAGES_PERCENT,TEXT,False,False,
SONAR_MEASURES,sg_i.MAX_MODULE_NCCD,TEXT,False,False,
SONAR_MEASURES,sg_i.ARCHITECTURE_FEATURE_AVAILABLE,TEXT,False,False,
SONAR_MEASURES,sg_i.NUMBER_OF_ISSUES,TEXT,False,False,
SONAR_MEASURES,sg_i.NUMBER_OF_CRITICAL_ISSUES_WITHOUT_RESOLUTION,TEXT,False,False,
SONAR_MEASURES,sg_i.VIOLATING_COMPONENTS_PERCENT,TEXT,False,False,
SONAR_MEASURES,sg_i.UNASSIGNED_COMPONENTS_PERCENT,TEXT,False,False,
SONAR_MEASURES,sg_i.NUMBER_OF_THRESHOLD_VIOLATIONS,TEXT,False,False,
SONAR_MEASURES,sg_i.NUMBER_OF_WORKSPACE_WARNINGS,TEXT,False,False,
SONAR_MEASURES,sg_i.NUMBER_OF_IGNORED_CRITICAL_ISSUES,TEXT,False,False,
SONAR_RULES,PLUGIN_RULE_KEY,,False,False,InsufficientBranchCoverage
SONAR_RULES,PLUGIN_CONFIG_KEY,,False,False,
SONAR_RULES,PLUGIN_NAME,,False,False,common-java
SONAR_RULES,DESCRIPTION,,False,False,An issue is created on a file as soon as the branch coverage on this file is less than the required threshold.It give...
SONAR_RULES,SEVERITY,,False,False,MAJOR
SONAR_RULES,NAME,,False,False,Branches should have sufficient coverage by tests
SONAR_RULES,REMEDIATION_FUNCTION,,False,False,
SONAR_RULES,DEF_REMEDIATION_FUNCTION,,False,False,LINEAR
SONAR_RULES,REMEDIATION_GAP_MULT,,False,False,
SONAR_RULES,DEF_REMEDIATION_GAP_MULT,,False,False,5min
SONAR_RULES,REMEDIATION_BASE_EFFORT,,False,False,
SONAR_RULES,DEF_REMEDIATION_BASE_EFFORT,,False,False,
SONAR_RULES,GAP_DESCRIPTION,,False,False,number of uncovered conditions
SONAR_RULES,SYSTEM_TAGS,,False,False,bad-practice
SONAR_RULES,IS_TEMPLATE,,False,False,0
SONAR_RULES,DESCRIPTION_FORMAT,,False,False,HTML
SONAR_RULES,TYPE,,False,False,CODE_SMELL
SZZ_FAULT_INDUCING_COMMITS,PROJECT_ID,,False,False,org.apache:archiva
SZZ_FAULT_INDUCING_COMMITS,FAULT_FIXING_COMMIT_HASH,,False,False,fa3688a693bc10bf53e72965027a82df0a8ad267
SZZ_FAULT_INDUCING_COMMITS,FAULT_INDUCING_COMMIT_HASH,,False,False,b7c003acb6b2c2a930443c511cb087d2776b4891
